Date,Close,High,Low,Open,Volume,daily_return,sma_10,sma_20,volatility_10,momentum_10,rsi_14,target_return,target_direction,ticker
2021-05-18,121.80990600585938,123.89779649597985,121.74161080080381,123.47826668103308,63342900,-0.011245794152504152,123.58390197753906,126.45454788208008,0.016406759374024492,-0.021806194714989457,28.148517563552666,-0.0012815463587698694,0,AAPL
2021-05-19,121.65380096435547,121.87819629608094,119.86835967667767,120.16105765432343,92612000,-0.0012815463587698694,123.27239837646485,126.03581581115722,0.016350111583451843,-0.024966458662782243,27.94368411689219,0.021012132208353185,1,AAPL
2021-05-20,124.21000671386719,124.61002681126666,122.05382097524402,122.18066024691666,76857100,0.021012132208353185,123.05677947998046,125.82086524963378,0.017372646507289587,-0.017063020321715694,36.13864752281376,-0.014767094332873043,0,AAPL
2021-05-21,122.37578582763672,124.88320615344152,122.16114162608143,124.70758884704348,79295400,-0.014767094332873043,122.59042053222656,125.39830017089844,0.017644483173425544,-0.03670979541843722,33.21917545842805,0.013314119747464437,1,AAPL
2021-05-24,124.00511169433594,124.82466155300955,122.87336158160026,122.94165678285485,63092900,0.013314119747464437,122.61481246948242,125.0377212524414,0.016470246211732546,0.0019708873838610863,38.00984436333313,-0.0015734977572350317,0,AAPL
2021-05-25,123.80998992919922,125.19541862484827,123.24411112700588,124.70758616767343,72009500,-0.0015734977572350317,122.71140213012696,124.68345680236817,0.016268087075805696,0.007862784284691449,37.661408073925394,-0.0003941330376472374,0,AAPL
2021-05-26,123.76119232177734,124.28804417802037,123.34166255348855,123.86851440973157,56575900,-0.0003941330376472374,123.10946731567383,124.3661994934082,0.013562737374621011,0.03323287605793035,37.56865454822239,-0.012376748645496538,0,AAPL
2021-05-27,122.22943115234375,124.5319657543007,122.03430412924318,123.36118872845968,94625600,-0.012376748645496538,123.13971328735352,123.97722396850585,0.013330097323495788,0.002480662918431964,34.6812611095896,-0.005347841588489444,0,AAPL
2021-05-28,121.57576751708984,122.73679359407036,121.51723088921521,122.5123907811842,71311100,-0.005347841588489444,122.86263275146484,123.65393867492676,0.011484484587745807,-0.02228292501193674,33.49808798904496,-0.0026484798193983083,0,AAPL
2021-06-01,121.25377655029297,122.29772171588232,120.92205913488071,122.03429950032661,67637100,-0.0026484798193983083,122.66847686767578,123.26196060180663,0.011219752486761637,-0.015760002858654087,32.90262064378406,0.00627604334619547,1,AAPL
2021-06-02,122.0147705078125,122.19038778236961,121.02936949732552,121.25376479927095,59278900,0.00627604334619547,122.6889633178711,123.13643264770508,0.010897568140702635,0.0016818377804450613,35.80696459465101,-0.012153967555237677,0,AAPL
2021-06-03,120.53180694580078,121.80990611741935,120.13178685609535,121.64404739693522,76229200,-0.012153967555237677,122.57676391601562,122.92458114624023,0.01158485873651968,-0.009222843919882373,32.82513409346502,0.01902211908905649,1,AAPL
2021-06-04,122.82457733154297,123.08800699874061,120.83425044759345,121.04889463757115,75169300,0.01902211908905649,122.4382209777832,122.74750022888183,0.011177205853488819,-0.011153927279914932,41.00498733011888,7.950872058470893e-05,1,AAPL
2021-06-07,122.83434295654297,123.2441141916509,121.79039769931899,123.09776519522116,71057600,7.950872058470893e-05,122.48407669067383,122.5372486114502,0.010087881523560337,0.003747123058740698,41.0379206609902,0.006671741983906632,1,AAPL
